Signal,Red,Yellow,Green,Vehicles_Crossed
Signal 4 RED,90,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,318
Signal 2 RED,14,5,20,341
Signal 3 RED,64,5,20,84
Signal 4 RED,89,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,318
Signal 2 RED,13,5,20,341
Signal 3 RED,63,5,20,84
Signal 4 RED,88,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,318
Signal 2 RED,12,5,20,341
Signal 3 RED,62,5,20,84
Signal 4 RED,87,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,318
Signal 2 RED,11,5,20,341
Signal 3 RED,61,5,20,84
Signal 4 RED,86,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,319
Signal 2 RED,10,5,20,341
Signal 3 RED,60,5,20,84
Signal 4 RED,85,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,319
Signal 2 RED,9,5,20,341
Signal 3 RED,59,5,20,84
Signal 4 RED,84,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,319
Signal 2 RED,8,5,20,341
Signal 3 RED,58,5,20,84
Signal 4 RED,83,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,321
Signal 2 RED,7,5,20,341
Signal 3 RED,57,5,20,84
Signal 4 RED,82,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,321
Signal 2 RED,6,5,20,341
Signal 3 RED,56,5,20,84
Signal 4 RED,81,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,322
Signal 2 GREEN,0,5,20,341
Signal 3 RED,25,5,20,84
Signal 4 RED,75,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,322
Signal 2 GREEN,0,5,19,352
Signal 3 RED,24,5,20,84
Signal 4 RED,74,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,322
Signal 2 GREEN,0,5,18,361
Signal 3 RED,23,5,20,84
Signal 4 RED,73,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,322
Signal 2 GREEN,0,5,17,369
Signal 3 RED,22,5,20,84
Signal 4 RED,72,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,322
Signal 2 GREEN,0,5,16,373
Signal 3 RED,21,5,20,84
Signal 4 RED,71,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,322
Signal 2 GREEN,0,5,15,379
Signal 3 RED,20,5,20,84
Signal 4 RED,70,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,322
Signal 2 GREEN,0,5,14,382
Signal 3 RED,19,5,20,84
Signal 4 RED,69,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,322
Signal 2 GREEN,0,5,13,386
Signal 3 RED,18,5,20,84
Signal 4 RED,68,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,322
Signal 2 GREEN,0,5,12,391
Signal 3 RED,17,5,20,84
Signal 4 RED,67,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,322
Signal 2 GREEN,0,5,11,392
Signal 3 RED,16,5,20,84
Signal 4 RED,66,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,322
Signal 2 GREEN,0,5,10,392
Signal 3 RED,15,5,20,84
Signal 4 RED,65,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,322
Signal 2 GREEN,0,5,9,392
Signal 3 RED,14,5,20,84
Signal 4 RED,64,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,322
Signal 2 GREEN,0,5,8,392
Signal 3 RED,13,5,20,84
Signal 4 RED,63,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,322
Signal 2 GREEN,0,5,7,393
Signal 3 RED,12,5,20,84
Signal 4 RED,62,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,322
Signal 2 GREEN,0,5,6,393
Signal 3 RED,11,5,20,84
Signal 4 RED,61,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,322
Signal 2 GREEN,0,5,5,394
Signal 3 RED,10,5,20,84
Signal 4 RED,60,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,322
Signal 2 GREEN,0,5,4,394
Signal 3 RED,9,5,20,84
Signal 4 RED,59,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,322
Signal 2 GREEN,0,5,3,395
Signal 3 RED,8,5,20,84
Signal 4 RED,58,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,322
Signal 2 GREEN,0,5,2,395
Signal 3 RED,7,5,20,84
Signal 4 RED,57,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,322
Signal 2 GREEN,0,5,1,397
Signal 3 RED,6,5,20,84
Signal 4 RED,56,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,322
Signal 2 RED,100,5,20,398
Signal 3 GREEN,0,5,20,84
Signal 4 RED,25,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,322
Signal 2 RED,99,5,20,398
Signal 3 GREEN,0,5,19,93
Signal 4 RED,24,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,322
Signal 2 RED,98,5,20,398
Signal 3 GREEN,0,5,18,95
Signal 4 RED,23,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,322
Signal 2 RED,97,5,20,398
Signal 3 GREEN,0,5,17,97
Signal 4 RED,22,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,322
Signal 2 RED,96,5,20,398
Signal 3 GREEN,0,5,16,97
Signal 4 RED,21,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,322
Signal 2 RED,95,5,20,398
Signal 3 GREEN,0,5,15,97
Signal 4 RED,20,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,322
Signal 2 RED,94,5,20,398
Signal 3 GREEN,0,5,14,97
Signal 4 RED,19,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,322
Signal 2 RED,93,5,20,398
Signal 3 GREEN,0,5,13,97
Signal 4 RED,18,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,322
Signal 2 RED,92,5,20,398
Signal 3 GREEN,0,5,12,97
Signal 4 RED,17,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,322
Signal 2 RED,91,5,20,398
Signal 3 GREEN,0,5,11,97
Signal 4 RED,16,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,322
Signal 2 RED,90,5,20,398
Signal 3 GREEN,0,5,10,97
Signal 4 RED,15,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,322
Signal 2 RED,89,5,20,398
Signal 3 GREEN,0,5,9,97
Signal 4 RED,14,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,322
Signal 2 RED,88,5,20,398
Signal 3 GREEN,0,5,8,97
Signal 4 RED,13,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,322
Signal 2 RED,87,5,20,398
Signal 3 GREEN,0,5,7,97
Signal 4 RED,12,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,322
Signal 2 RED,86,5,20,398
Signal 3 GREEN,0,5,6,97
Signal 4 RED,11,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,322
Signal 2 RED,85,5,20,398
Signal 3 GREEN,0,5,5,97
Signal 4 RED,10,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,322
Signal 2 RED,84,5,20,398
Signal 3 GREEN,0,5,4,97
Signal 4 RED,9,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,322
Signal 2 RED,83,5,20,398
Signal 3 GREEN,0,5,3,97
Signal 4 RED,8,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,322
Signal 2 RED,82,5,20,398
Signal 3 GREEN,0,5,2,97
Signal 4 RED,7,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,322
Signal 2 RED,81,5,20,398
Signal 3 GREEN,0,5,1,97
Signal 4 RED,6,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,322
Signal 2 RED,75,5,20,398
Signal 3 RED,100,5,20,97
Signal 4 GREEN,0,5,20,98
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,322
Signal 2 RED,74,5,20,398
Signal 3 RED,99,5,20,97
Signal 4 GREEN,0,5,19,108
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,322
Signal 2 RED,73,5,20,398
Signal 3 RED,98,5,20,97
Signal 4 GREEN,0,5,18,112
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,322
Signal 2 RED,72,5,20,398
Signal 3 RED,97,5,20,97
Signal 4 GREEN,0,5,17,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,322
Signal 2 RED,71,5,20,398
Signal 3 RED,96,5,20,97
Signal 4 GREEN,0,5,16,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,322
Signal 2 RED,70,5,20,398
Signal 3 RED,95,5,20,97
Signal 4 GREEN,0,5,15,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,322
Signal 2 RED,69,5,20,398
Signal 3 RED,94,5,20,97
Signal 4 GREEN,0,5,14,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,322
Signal 2 RED,68,5,20,398
Signal 3 RED,93,5,20,97
Signal 4 GREEN,0,5,13,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,322
Signal 2 RED,67,5,20,398
Signal 3 RED,92,5,20,97
Signal 4 GREEN,0,5,12,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,322
Signal 2 RED,66,5,20,398
Signal 3 RED,91,5,20,97
Signal 4 GREEN,0,5,11,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,322
Signal 2 RED,65,5,20,398
Signal 3 RED,90,5,20,97
Signal 4 GREEN,0,5,10,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,322
Signal 2 RED,64,5,20,398
Signal 3 RED,89,5,20,97
Signal 4 GREEN,0,5,9,114
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,322
Signal 2 RED,63,5,20,398
Signal 3 RED,88,5,20,97
Signal 4 GREEN,0,5,8,115
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,322
Signal 2 RED,62,5,20,398
Signal 3 RED,87,5,20,97
Signal 4 GREEN,0,5,7,115
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,322
Signal 2 RED,61,5,20,398
Signal 3 RED,86,5,20,97
Signal 4 GREEN,0,5,6,115
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,322
Signal 2 RED,60,5,20,398
Signal 3 RED,85,5,20,97
Signal 4 GREEN,0,5,5,115
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,322
Signal 2 RED,59,5,20,398
Signal 3 RED,84,5,20,97
Signal 4 GREEN,0,5,4,115
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,322
Signal 2 RED,58,5,20,398
Signal 3 RED,83,5,20,97
Signal 4 GREEN,0,5,3,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,322
Signal 2 RED,57,5,20,398
Signal 3 RED,82,5,20,97
Signal 4 GREEN,0,5,2,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,322
Signal 2 RED,56,5,20,398
Signal 3 RED,81,5,20,97
Signal 4 GREEN,0,5,1,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,322
Signal 2 RED,25,5,20,398
Signal 3 RED,75,5,20,97
Signal 4 RED,100,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,333
Signal 2 RED,24,5,20,398
Signal 3 RED,74,5,20,97
Signal 4 RED,99,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,343
Signal 2 RED,23,5,20,398
Signal 3 RED,73,5,20,97
Signal 4 RED,98,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,349
Signal 2 RED,22,5,20,398
Signal 3 RED,72,5,20,97
Signal 4 RED,97,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,353
Signal 2 RED,21,5,20,398
Signal 3 RED,71,5,20,97
Signal 4 RED,96,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,359
Signal 2 RED,20,5,20,398
Signal 3 RED,70,5,20,97
Signal 4 RED,95,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,364
Signal 2 RED,19,5,20,398
Signal 3 RED,69,5,20,97
Signal 4 RED,94,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,367
Signal 2 RED,18,5,20,398
Signal 3 RED,68,5,20,97
Signal 4 RED,93,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,368
Signal 2 RED,17,5,20,398
Signal 3 RED,67,5,20,97
Signal 4 RED,92,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,368
Signal 2 RED,16,5,20,398
Signal 3 RED,66,5,20,97
Signal 4 RED,91,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,368
Signal 2 RED,15,5,20,398
Signal 3 RED,65,5,20,97
Signal 4 RED,90,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,9,368
Signal 2 RED,14,5,20,398
Signal 3 RED,64,5,20,97
Signal 4 RED,89,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,8,370
Signal 2 RED,13,5,20,398
Signal 3 RED,63,5,20,97
Signal 4 RED,88,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,7,371
Signal 2 RED,12,5,20,398
Signal 3 RED,62,5,20,97
Signal 4 RED,87,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,6,371
Signal 2 RED,11,5,20,398
Signal 3 RED,61,5,20,97
Signal 4 RED,86,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,5,371
Signal 2 RED,10,5,20,398
Signal 3 RED,60,5,20,97
Signal 4 RED,85,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,4,372
Signal 2 RED,9,5,20,398
Signal 3 RED,59,5,20,97
Signal 4 RED,84,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,3,372
Signal 2 RED,8,5,20,398
Signal 3 RED,58,5,20,97
Signal 4 RED,83,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,2,372
Signal 2 RED,7,5,20,398
Signal 3 RED,57,5,20,97
Signal 4 RED,82,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,1,372
Signal 2 RED,6,5,20,398
Signal 3 RED,56,5,20,97
Signal 4 RED,81,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,100,5,20,372
Signal 2 GREEN,0,5,20,398
Signal 3 RED,25,5,20,97
Signal 4 RED,75,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,99,5,20,372
Signal 2 GREEN,0,5,19,409
Signal 3 RED,24,5,20,97
Signal 4 RED,74,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,98,5,20,372
Signal 2 GREEN,0,5,18,415
Signal 3 RED,23,5,20,97
Signal 4 RED,73,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,97,5,20,372
Signal 2 GREEN,0,5,17,419
Signal 3 RED,22,5,20,97
Signal 4 RED,72,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,96,5,20,372
Signal 2 GREEN,0,5,16,425
Signal 3 RED,21,5,20,97
Signal 4 RED,71,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,95,5,20,372
Signal 2 GREEN,0,5,15,429
Signal 3 RED,20,5,20,97
Signal 4 RED,70,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,94,5,20,372
Signal 2 GREEN,0,5,14,434
Signal 3 RED,19,5,20,97
Signal 4 RED,69,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,93,5,20,372
Signal 2 GREEN,0,5,13,436
Signal 3 RED,18,5,20,97
Signal 4 RED,68,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,92,5,20,372
Signal 2 GREEN,0,5,12,437
Signal 3 RED,17,5,20,97
Signal 4 RED,67,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,91,5,20,372
Signal 2 GREEN,0,5,11,439
Signal 3 RED,16,5,20,97
Signal 4 RED,66,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,90,5,20,372
Signal 2 GREEN,0,5,10,441
Signal 3 RED,15,5,20,97
Signal 4 RED,65,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,89,5,20,372
Signal 2 GREEN,0,5,9,441
Signal 3 RED,14,5,20,97
Signal 4 RED,64,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,88,5,20,372
Signal 2 GREEN,0,5,8,441
Signal 3 RED,13,5,20,97
Signal 4 RED,63,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,87,5,20,372
Signal 2 GREEN,0,5,7,441
Signal 3 RED,12,5,20,97
Signal 4 RED,62,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,86,5,20,372
Signal 2 GREEN,0,5,6,441
Signal 3 RED,11,5,20,97
Signal 4 RED,61,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,85,5,20,372
Signal 2 GREEN,0,5,5,441
Signal 3 RED,10,5,20,97
Signal 4 RED,60,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,84,5,20,372
Signal 2 GREEN,0,5,4,441
Signal 3 RED,9,5,20,97
Signal 4 RED,59,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,83,5,20,372
Signal 2 GREEN,0,5,3,441
Signal 3 RED,8,5,20,97
Signal 4 RED,58,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,82,5,20,372
Signal 2 GREEN,0,5,2,442
Signal 3 RED,7,5,20,97
Signal 4 RED,57,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,81,5,20,372
Signal 2 GREEN,0,5,1,443
Signal 3 RED,6,5,20,97
Signal 4 RED,56,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,75,5,20,372
Signal 2 RED,100,5,20,444
Signal 3 GREEN,0,5,20,97
Signal 4 RED,25,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,74,5,20,372
Signal 2 RED,99,5,20,444
Signal 3 GREEN,0,5,19,102
Signal 4 RED,24,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,73,5,20,372
Signal 2 RED,98,5,20,444
Signal 3 GREEN,0,5,18,104
Signal 4 RED,23,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,72,5,20,372
Signal 2 RED,97,5,20,444
Signal 3 GREEN,0,5,17,105
Signal 4 RED,22,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,71,5,20,372
Signal 2 RED,96,5,20,444
Signal 3 GREEN,0,5,16,105
Signal 4 RED,21,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,70,5,20,372
Signal 2 RED,95,5,20,444
Signal 3 GREEN,0,5,15,105
Signal 4 RED,20,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,69,5,20,372
Signal 2 RED,94,5,20,444
Signal 3 GREEN,0,5,14,105
Signal 4 RED,19,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,68,5,20,372
Signal 2 RED,93,5,20,444
Signal 3 GREEN,0,5,13,105
Signal 4 RED,18,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,67,5,20,372
Signal 2 RED,92,5,20,444
Signal 3 GREEN,0,5,12,105
Signal 4 RED,17,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,66,5,20,372
Signal 2 RED,91,5,20,444
Signal 3 GREEN,0,5,11,105
Signal 4 RED,16,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,65,5,20,372
Signal 2 RED,90,5,20,444
Signal 3 GREEN,0,5,10,105
Signal 4 RED,15,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,64,5,20,372
Signal 2 RED,89,5,20,444
Signal 3 GREEN,0,5,9,105
Signal 4 RED,14,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,63,5,20,372
Signal 2 RED,88,5,20,444
Signal 3 GREEN,0,5,8,105
Signal 4 RED,13,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,62,5,20,372
Signal 2 RED,87,5,20,444
Signal 3 GREEN,0,5,7,105
Signal 4 RED,12,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,61,5,20,372
Signal 2 RED,86,5,20,444
Signal 3 GREEN,0,5,6,105
Signal 4 RED,11,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,60,5,20,372
Signal 2 RED,85,5,20,444
Signal 3 GREEN,0,5,5,105
Signal 4 RED,10,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,59,5,20,372
Signal 2 RED,84,5,20,444
Signal 3 GREEN,0,5,4,105
Signal 4 RED,9,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,58,5,20,372
Signal 2 RED,83,5,20,444
Signal 3 GREEN,0,5,3,106
Signal 4 RED,8,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,57,5,20,372
Signal 2 RED,82,5,20,444
Signal 3 GREEN,0,5,2,106
Signal 4 RED,7,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,56,5,20,372
Signal 2 RED,81,5,20,444
Signal 3 GREEN,0,5,1,106
Signal 4 RED,6,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,25,5,20,372
Signal 2 RED,75,5,20,444
Signal 3 RED,100,5,20,106
Signal 4 GREEN,0,5,20,116
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,372
Signal 2 RED,74,5,20,444
Signal 3 RED,99,5,20,106
Signal 4 GREEN,0,5,19,125
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,372
Signal 2 RED,73,5,20,444
Signal 3 RED,98,5,20,106
Signal 4 GREEN,0,5,18,129
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,372
Signal 2 RED,72,5,20,444
Signal 3 RED,97,5,20,106
Signal 4 GREEN,0,5,17,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,372
Signal 2 RED,71,5,20,444
Signal 3 RED,96,5,20,106
Signal 4 GREEN,0,5,16,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,372
Signal 2 RED,70,5,20,444
Signal 3 RED,95,5,20,106
Signal 4 GREEN,0,5,15,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,372
Signal 2 RED,69,5,20,444
Signal 3 RED,94,5,20,106
Signal 4 GREEN,0,5,14,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,372
Signal 2 RED,68,5,20,444
Signal 3 RED,93,5,20,106
Signal 4 GREEN,0,5,13,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,372
Signal 2 RED,67,5,20,444
Signal 3 RED,92,5,20,106
Signal 4 GREEN,0,5,12,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,372
Signal 2 RED,66,5,20,444
Signal 3 RED,91,5,20,106
Signal 4 GREEN,0,5,11,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,372
Signal 2 RED,65,5,20,444
Signal 3 RED,90,5,20,106
Signal 4 GREEN,0,5,10,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,372
Signal 2 RED,64,5,20,444
Signal 3 RED,89,5,20,106
Signal 4 GREEN,0,5,9,130
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,372
Signal 2 RED,63,5,20,444
Signal 3 RED,88,5,20,106
Signal 4 GREEN,0,5,8,131
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,372
Signal 2 RED,62,5,20,444
Signal 3 RED,87,5,20,106
Signal 4 GREEN,0,5,7,131
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,372
Signal 2 RED,61,5,20,444
Signal 3 RED,86,5,20,106
Signal 4 GREEN,0,5,6,131
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,372
Signal 2 RED,60,5,20,444
Signal 3 RED,85,5,20,106
Signal 4 GREEN,0,5,5,131
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,372
Signal 2 RED,59,5,20,444
Signal 3 RED,84,5,20,106
Signal 4 GREEN,0,5,4,132
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,372
Signal 2 RED,58,5,20,444
Signal 3 RED,83,5,20,106
Signal 4 GREEN,0,5,3,134
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,372
Signal 2 RED,57,5,20,444
Signal 3 RED,82,5,20,106
Signal 4 GREEN,0,5,2,134
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,372
Signal 2 RED,56,5,20,444
Signal 3 RED,81,5,20,106
Signal 4 GREEN,0,5,1,134
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,372
Signal 2 RED,25,5,20,444
Signal 3 RED,75,5,20,106
Signal 4 RED,100,5,20,134
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,382
Signal 2 RED,24,5,20,444
Signal 3 RED,74,5,20,106
Signal 4 RED,99,5,20,134
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,391
Signal 2 RED,23,5,20,444
